STT,DATE,OPEN,CLOSE,HIGH,LOW,VOLUME
1,7/7/2016,639.9,644.52,645.01,638.63,45.03
2,7/8/2016,645.21,643.56,648.73,639.67,49.58
3,7/11/2016,643.77,636.02,648.37,633.89,53.37
4,7/12/2016,637.69,641.58,641.58,633.5,54.43
5,7/13/2016,645.04,656.89,657.66,645.04,74.6
6,7/14/2016,657.05,651.14,664.43,651.14,68.76
7,7/15/2016,653.75,653.63,656.73,649.54,59.3
8,7/18/2016,653.82,662.29,662.41,652.51,55.78
9,7/19/2016,664.82,654.17,665.11,647.33,56.7
10,7/20/2016,654.45,645.15,654.49,645.15,50.73
11,7/21/2016,647.51,643.16,650.12,642.22,40.08
12,7/22/2016,642.19,634.34,642.35,626.4,79.02
13,7/25/2016,636.37,633.21,638.17,631.18,37.66
14,7/26/2016,633.57,634.68,636.03,627.97,36.72
15,7/27/2016,634.67,639.63,640.41,634.42,54.23
16,7/28/2016,639.58,644.33,644.33,636.61,53.6
17,7/29/2016,644,639.17,645.39,639.11,45.54
18,8/1/2016,642.04,635.41,642.04,633.42,38.44
19,8/2/2016,631.09,623.16,631.13,620.85,65.4
20,8/3/2016,620.86,619.8,622.4,616.53,35.62
21,8/4/2016,620.42,617.41,626.79,617.41,44.95
22,8/5/2016,615.06,615.06,615.65,608.84,52.5
23,8/8/2016,614.38,614.65,616.97,609.21,38.36
24,8/9/2016,614.16,621.43,621.88,614.16,38.94
25,8/10/2016,621.18,632.86,633.39,621.18,50.91
26,8/11/2016,634.27,645.1,645.1,633.95,67.33
27,8/12/2016,650.55,641.11,652.87,638.1,58.42
28,8/15/2016,640.59,645.66,645.69,639.08,57.97
29,8/16/2016,647.15,646.44,650.45,645.48,78.22
30,8/17/2016,648.34,650.82,650.98,645.53,54.68
31,8/18/2016,653.36,652.87,656.33,646.59,57.33
32,8/19/2016,657.39,654.42,659.43,653.67,51.05
33,8/22/2016,654.43,647.46,655.33,647.46,54.79
34,8/23/2016,643.9,650.92,651.19,642.5,47.35
35,8/24/2016,651.83,650.95,656.93,650.21,39.44
36,8/25/2016,649.51,649.06,650.69,646.71,46.89
37,8/26/2016,652.64,656.71,659.34,652.64,50.27
38,8/29/2016,660.07,656.23,666.02,656.23,46.67
39,8/30/2016,655.39,661.2,661.2,654.66,38.97
40,8/31/2016,662.41,665.25,666.7,661.32,49.95
41,9/1/2016,665.2,659.09,665.2,655.28,42.53
42,9/5/2016,660.24,655.08,661.13,652.13,53.48
43,9/6/2016,656.06,656.02,659.27,656.02,50.18
44,9/7/2016,655.19,654.79,655.75,647.47,42.24
45,9/8/2016,654.53,659.25,661.54,654.38,59.95
46,9/9/2016,662.04,658.66,663.68,657.64,48.61
47,9/12/2016,657.61,651.63,657.61,646.87,45.05
48,9/13/2016,650.41,651.8,653.85,647.33,39.1
49,9/14/2016,651.15,646.93,652.5,646.93,44.71
50,9/15/2016,646.37,645.02,649.97,644.08,45.95
51,9/16/2016,642.29,639.37,645.72,639.37,124.13
52,9/19/2016,646.47,648.83,648.83,644.23,52.72
53,9/20/2016,648.77,653.66,653.66,643.6,59.49
54,9/21/2016,653.67,657.44,658.05,652.62,73.
55,9/22/2016,659.65,662.31,665.27,659.36,56.59
56,9/23/2016,662.23,664.31,664.31,660.85,69.76
57,9/26/2016,662.79,666.1,666.9,661.71,59.43
58,9/27/2016,665.3,671.21,671.21,664.47,65.24
59,9/28/2016,670.32,669.17,672.92,667.72,56.05
60,9/29/2016,671.39,670.3,674.11,668.34,50.41
61,9/30/2016,669.34,668.44,670.55,665.65,52.62
62,10/3/2016,668.47,662.42,670.52,660.29,60.25
63,10/4/2016,661.77,661.89,665.53,657.44,55.63
64,10/5/2016,663.56,663.95,665.98,661.76,55.14
65,10/6/2016,665.23,663.12,667.15,663.12,74.61
66,10/7/2016,665.31,657.54,666.33,654.05,55.75
67,10/10/2016,657.58,647.25,657.92,647.17,55.71
68,10/11/2016,649.08,654.88,654.88,641.45,72.02
69,10/12/2016,655.03,653.25,658.02,652.71,50.57
70,10/13/2016,651.64,658.29,658.49,649.63,54.46
71,10/14/2016,656.92,657.59,662.05,656.89,78.56
72,10/17/2016,657.08,650.46,657.81,650.46,48.26
73,10/18/2016,649.08,653.32,653.87,647.77,63.29
